"","STATUS","POLICE_ZONE","COUNCIL_DISTRICT","NEIGHBORHOOD","GEO_ACCURACY","REQUEST_ORIGIN","TRACT","X_full_text","REQUEST_TYPE","PLI_DIVISION","Y","CREATED_ON","PUBLIC_WORKS_DIVISION","REQUEST_ID","DEPARTMENT","X","WARD","X_id","FIRE_ZONE","date"
"1","Open","5","9","Stanton Heights","EXACT","Call Center","42003100500","'+00':7 '-08':2 '-27':3 '-7':18 '-79.9350364':23 '00':6,8 '10':10 '2':15 '2018':1 '283864':28 '3':14,17 '40.4801998':20 '42003100500':9 '49':5 '5':16 '9':13 'call':21 'center':22 'dpw':24 'exact':27 'height':12 'mainten':26 'pothol':19 'stanton':11 'street':25 't15':4","Potholes","10",40.4801998,"2018-08-27T15:49:00","2","283864","DPW - Street Maintenance",-79.9350364,"10",270792,"3-7",2018-08-27
"2","Open","5","9","Stanton Heights","EXACT","Twitter","42003100500","'+00':9 '-08':4 '-30':5 '-7':19 '-79.9350364':22 '0':15 '00':8,10 '05':7 '10':1 '2':16 '2018':3 '284824':14 '3':18 '40.4801998':27 '42003100500':2 '5':17 '9':21 'dpw':23 'exact':26 'height':12 'mainten':25 'pothol':20 'stanton':11 'street':24 't11':6 'twitter':13","Potholes","10",40.4801998,"2018-08-30T11:05:00","2","284824","DPW - Street Maintenance",-79.9350364,"10",271776,"3-7",2018-08-30
"3","Open","5","9","Garfield","EXACT","Call Center","42003101700","'+00':19 '-04':15 '-09':14 '-4':5 '-79.9430560062':6 '00':18,20 '08':17 '10':1 '2':10 '2018':13 '285786':2 '3':4,9 '40.4665579422':3 '42003101700':27 '5':11 '9':8 'call':21 'center':22 'dpw':23 'exact':26 'garfield':7 'mainten':25 'pothol':12 'street':24 't16':16","Potholes","10",40.4665579422414,"2018-09-04T16:08:00","2","285786","DPW - Street Maintenance",-79.943056006221,"10",272741,"3-4",2018-09-04
"4","Closed","4","5","Hazelwood","EXACT","Call Center","42003562300","'+00':9 '-08':4 '-12':13 '-30':5 '-79.9347133':14 '00':8,10 '1':15 '15':11 '2':12 '2018':3 '21':7 '284838':1 '3':17 '4':19 '40.4161376':26 '42003562300':2 '5':18 'call':21 'center':22 'dpw':23 'exact':27 'hazelwood':16 'mainten':25 'pothol':20 'street':24 't11':6","Potholes","15",40.4161376,"2018-08-30T11:21:00","3","284838","DPW - Street Maintenance",-79.9347133,"15",271791,"2-12",2018-08-30
"5","Open","4","9","Point Breeze","EXACT","Call Center","42003140600","'+00':11 '-08':6 '-14':4 '-30':7 '-79.9037629':27 '00':10,12 '14':2 '2018':5 '28':9 '284842':1 '3':3,15 '4':18 '40.4499964':13 '42003140600':20 '9':14 'breez':17 'call':21 'center':22 'dpw':23 'exact':26 'mainten':25 'point':16 'pothol':19 'street':24 't11':8","Potholes","14",40.4499964,"2018-08-30T11:28:00","3","284842","DPW - Street Maintenance",-79.9037629,"14",271795,"3-14",2018-08-30
"6","Open","1","1","Perry North","EXACT","Call Center","42003260200","'+00':16 '-04':12 '-09':11 '-15':4 '-80.017951':7 '0':19 '00':15,17 '1':3,18 '17':14 '2018':10 '26':9 '285791':5 '40.489619':8 '42003260200':6 'call':21 'center':22 'dpw':23 'exact':26 'mainten':25 'north':2 'perri':1 'pothol':20 'street':24 't16':13","Potholes","26",40.489619,"2018-09-04T16:17:00","1","285791","DPW - Street Maintenance",-80.017951,"26",272747,"1-15",2018-09-04
"7","Open","1","1","Fineview","EXACT","Call Center","42003250900","'+00':14 '-08':9 '-10':17 '-30':10 '-80.0032608':2 '0':7 '00':13,15 '1':6,16 '2018':8 '25':1 '284858':4 '40.4598568':21 '42003250900':3 '55':12 'call':19 'center':20 'dpw':22 'exact':25 'fineview':5 'mainten':24 'pothol':18 'street':23 't11':11","Potholes","25",40.4598568,"2018-08-30T11:55:00","1","284858","DPW - Street Maintenance",-80.0032608,"25",271812,"1-10",2018-08-30
"8","Open","2","7","Strip District","EXACT","Website","42003020300","'+00':19 '-08':14 '-2':8 '-30':15 '-79.9728067128':6 '0':9 '00':18,20 '2':10 '2018':13 '23':17 '284873':4 '3':7 '40.4588386434':5 '42003020300':2 '6':12 '7':3 'district':26 'dpw':22 'exact':21 'mainten':24 'pothol':11 'street':23 'strip':25 't12':16 'websit':1","Potholes","6",40.4588386433629,"2018-08-30T12:23:00","6","284873","DPW - Street Maintenance",-79.9728067128371,"6",271829,"3-2",2018-08-30
"9","Open","1","1","Allegheny West","EXACT","Call Center","42003562700","'+00':7 '-04':3 '-09':2 '-7':14 '-80.0163748':12 '0':16 '00':6,8 '1':13,15 '2018':1 '22':10 '285803':11 '38':5 '40.4505492':20 '42003562700':9 'allegheni':25 'call':18 'center':19 'dpw':21 'exact':24 'mainten':23 'pothol':17 'street':22 't16':4 'west':26","Potholes","22",40.4505492,"2018-09-04T16:38:00","1","285803","DPW - Street Maintenance",-80.0163748,"22",272759,"1-7",2018-09-04
"10","Open","6","4","Beechview","EXACT","Call Center","42003191600","'+00':14 '-05':10 '-09':9 '-28':27 '-80.0191683':6 '0':2 '00':13,15 '19':3 '2018':8 '285942':25 '4':17,26 '40.4143157':5 '42003191600':1 '5':16 '56':12 '6':19 'beechview':7 'call':20 'center':21 'dpw':22 'exact':4 'mainten':24 'pothol':18 'street':23 't10':11","Potholes","19",40.4143157,"2018-09-05T10:56:00","5","285942","DPW - Street Maintenance",-80.0191683,"19",272900,"4-28",2018-09-05
"11","Open","6","2","Chartiers City","EXACT","Call Center","42003563000","'+00':16 '-08':11 '-16':8 '-28':12 '-80.0706237':4 '00':15,17 '1':7 '13':14 '2':23 '20':1 '2018':10 '284238':28 '3':9 '40.4579319':2 '42003563000':3 '5':18 '6':20 'call':21 'center':22 'chartier':5 'citi':6 'dpw':24 'exact':27 'mainten':26 'pothol':19 'street':25 't15':13","Potholes","20",40.4579319,"2018-08-28T15:13:00","5","284238","DPW - Street Maintenance",-80.0706237,"20",271176,"1-16",2018-08-28
"12","Closed","6","4","Beechview","EXACT","Call Center","42003192000","'+00':7 '-08':2 '-28':3,27 '-80.026276245':9 '00':6,8 '1':14 '19':11 '2018':1 '284266':21 '4':16,26 '40.3996514885':12 '42003192000':10 '5':15 '56':5 '6':18 'beechview':13 'call':19 'center':20 'dpw':23 'exact':22 'mainten':25 'pothol':17 'street':24 't15':4","Potholes","19",40.399651488461,"2018-08-28T15:56:00","5","284266","DPW - Street Maintenance",-80.0262762449829,"19",271204,"4-28",2018-08-28
"13","Open","5","9","Lincoln-Lemington-Belmar","EXACT","Call Center","42003120300","'+00':29 '-08':24 '-15':4 '-30':25 '-79.9050898976':2 '00':28,30 '10':27 '12':1 '2':10 '2018':23 '284901':22 '3':3,9 '40.4682793643':7 '42003120300':6 '5':11 '9':8 'belmar':21 'call':13 'center':14 'dpw':15 'exact':5 'lemington':20 'lincoln':19 'lincoln-lemington-belmar':18 'mainten':17 'pothol':12 'street':16 't13':26","Potholes","12",40.4682793642649,"2018-08-30T13:10:00","2","284901","DPW - Street Maintenance",-79.9050898976227,"12",271857,"3-15",2018-08-30
"14","Closed","5","9","Homewood South","EXACT","Website","42003130400","'+00':25 '-08':20 '-17':5 '-30':21 '-79.8921034276':6 '00':24,26 '1':7 '13':3 '2':14 '2018':19 '25':23 '284902':27 '3':4 '40.4511012397':2 '42003130400':8 '5':11 '9':13 'dpw':15 'exact':18 'homewood':9 'mainten':17 'pothol':12 'south':10 'street':16 't13':22 'websit':1","Potholes","13",40.4511012397009,"2018-08-30T13:25:00","2","284902","DPW - Street Maintenance",-79.8921034276189,"13",271858,"3-17",2018-08-30
"15","Open","6","2","Sheraden","EXACT","Call Center","42003562500","'+00':11 '-04':7 '-09':6 '-16':14 '-80.0538198':3 '0':15 '00':10,12 '1':13 '2':16 '20':1,9 '2018':5 '285817':4 '40.4607514':18 '42003562500':17 '5':23 '6':20 'call':21 'center':22 'dpw':24 'exact':27 'mainten':26 'pothol':19 'sheraden':2 'street':25 't17':8","Potholes","20",40.4607514,"2018-09-04T17:20:00","5","285817","DPW - Street Maintenance",-80.0538198,"20",272773,"1-16",2018-09-04
"16","Open","4","3","South Oakland","EXACT","Call Center","42003040900","'+00':11 '-08':6 '-11':4 '-30':7 '-79.9542392':22 '00':10,12 '2':3 '2018':5 '284941':1 '3':13 '33':9 '4':14 '40.4297752':2 '42003040900':25 'call':16 'center':17 'dpw':18 'exact':21 'mainten':20 'oakland':24 'pothol':15 'south':23 'street':19 't14':8","Potholes","4",40.4297752,"2018-08-30T14:33:00","3","284941","DPW - Street Maintenance",-79.9542392,"4",271896,"2-11",2018-08-30
"17","Open","2","7","Upper Lawrenceville","EXACT","Call Center","42003101100","'+00':20 '-08':15 '-30':16 '-5':8 '-79.9519381':10 '00':19,21 '10':1 '2':12 '2018':14 '284945':4 '3':7,11 '40':18 '40.4805365':6 '42003101100':9 '7':5 'call':22 'center':23 'dpw':24 'exact':27 'lawrencevill':3 'mainten':26 'pothol':13 'street':25 't14':17 'upper':2","Potholes","10",40.4805365,"2018-08-30T14:40:00","2","284945","DPW - Street Maintenance",-79.9519381,"10",271901,"3-5",2018-08-30
"18","Open","2","7","Upper Lawrenceville","EXACT","Call Center","42003101100","'+00':19 '-08':14 '-30':15 '-5':7 '-79.9500485':9 '00':18,20 '07':17 '10':1 '2':11 '2018':13 '284959':8 '3':6,10 '40.4791889':27 '42003101100':4 '7':5 'call':21 'center':22 'dpw':23 'exact':26 'lawrencevill':3 'mainten':25 'pothol':12 'street':24 't15':16 'upper':2","Potholes","10",40.4791889,"2018-08-30T15:07:00","2","284959","DPW - Street Maintenance",-79.9500485,"10",271915,"3-5",2018-08-30
"19","Open","1","6","Fineview","EXACT","Call Center","42003250900","'+00':7 '-05':3 '-09':2 '-10':17 '-80.0075188':12 '0':15 '00':6,8 '05':5 '1':14,16 '2018':1 '25':9 '285947':22 '40.4633612':10 '42003250900':11 '6':19 'call':20 'center':21 'dpw':23 'exact':26 'fineview':13 'mainten':25 'pothol':18 'street':24 't11':4","Potholes","25",40.4633612,"2018-09-05T11:05:00","1","285947","DPW - Street Maintenance",-80.0075188,"25",272905,"1-10",2018-09-05
