"","STATUS","POLICE_ZONE","COUNCIL_DISTRICT","NEIGHBORHOOD","GEO_ACCURACY","REQUEST_ORIGIN","TRACT","X_full_text","REQUEST_TYPE","PLI_DIVISION","Y","CREATED_ON","PUBLIC_WORKS_DIVISION","REQUEST_ID","DEPARTMENT","X","WARD","X_id","FIRE_ZONE","date"
"1","Closed","1","6","Perry South","APPROXIMATE","Control Panel","42003261400","'+00':11 '-08':6 '-10':31 '-30':7 '-80.0134319461':22 '00':9,10,12 '1':1,30 '2018':5 '25':20 '284780':13 '40.462181328':29 '42003261400':17 '6':21 'approxim':4 'board':23 'construct':15 'control':18 'divis':16 'dpw':14,28 'panel':19 'perri':2 'pli':25 'referr':26 'south':3 't10':8","Board Up (PLI referral to DPW)","25",40.4621813280283,"2018-08-30T10:00:00","1","284780","DPW - Construction Division",-80.0134319461263,"25",271731,"1-10",2018-08-30
"2","Closed","6","2","Sheraden","APPROXIMATE","Control Panel","42003562500","'+00':22 '-08':17 '-16':8 '-30':18 '-80.0521649959':24 '00':21,23 '1':1,7 '2':25 '20':3 '2018':16 '284767':2 '40.4544565331':29 '42003562500':26 '48':20 '5':28 '6':27 'approxim':13 'build':5 'control':14 'inspect':12 'licens':10 'mainten':6 'panel':15 'permit':9 'sheraden':4 't09':19","Building Maintenance","20",40.4544565330943,"2018-08-30T09:48:00","5","284767","Permits, Licenses and Inspections",-80.0521649959053,"20",271718,"1-16",2018-08-30
"3","Closed","3","3","South Side Slopes","EXACT","Website","42003160800","'+00':21 '-08':16 '-24':10 '-30':17 '-79.9693031':14 '00':20,22 '01':19 '1':7 '16':3 '2018':15 '284781':4 '3':8 '4':9 '40.4230027':2 '42003160800':5 'dpw':23 'exact':26 'mainten':25 'side':12 'sinkhol':6 'slope':13 'south':11 'street':24 't10':18 'websit':1","Sinkhole","16",40.4230027,"2018-08-30T10:01:00","3","284781","DPW - Street Maintenance",-79.9693031,"16",271732,"4-24",2018-08-30
"4","Closed","1","1","Fineview","EXACT","Website","42003250900","'+00':13 '-08':8 '-10':24 '-30':9 '-80.0053':4 '00':12,14 '1':15,23 '2018':7 '25':2 '284778':6 '40.4617526':21 '42003250900':3 '59':11 'cleaning/sweeping':17 'dpw':18 'exact':22 'fineview':5 'mainten':20 'street':16,19 't09':10 'websit':1","Street Cleaning/Sweeping","25",40.4617526,"2018-08-30T09:59:00","1","284778","DPW - Street Maintenance",-80.0053,"25",271728,"1-10",2018-08-30
"5","Closed","1","1","Fineview","EXACT","Website","42003250900","'+00':10 '-08':5 '-10':21 '-30':6 '-80.0053':12 '00':8,9,11 '1':19,20 '2018':4 '25':2 '284779':18 '40.4617526':26 '42003250900':3 'dpw':22 'exact':25 'fineview':13 'mainten':24 'public':14 'right':15 'street':23 't10':7 'way':17 'websit':1","Public Right of Way","25",40.4617526,"2018-08-30T10:00:00","1","284779","DPW - Street Maintenance",-80.0053,"25",271729,"1-10",2018-08-30
"6","Closed","1","1","Fineview","APPROXIMATE","Website","42003250900","'+00':7 '-08':2 '-10':22 '-30':3 '-80.0043719499':23 '00':6,8 '1':20,21 '2018':1 '25':16 '284777':9 '40.4615781861':17 '42003250900':13 '58':5 'approxim':19 'dpw':14 'fineview':18 'miss':10 'pick':11 'refus':15 't09':4 'websit':24","Missed Pick Up","25",40.4615781861101,"2018-08-30T09:58:00","1","284777","DPW - Refuse",-80.0043719499104,"25",271727,"1-10",2018-08-30
"7","Closed","1","6","California-Kirkbride","EXACT","Website","42003250300","'+00':14 '-08':9 '-21':18 '-30':10 '-80.0155781':3 '00':13,15 '06':12 '1':17,19 '2018':8 '25':2 '284783':7 '40.4567918':6 '42003250300':16 '6':25 'california':28 'california-kirkbrid':27 'domi':4 'exact':26 'kirkbrid':29 'pedestrian':22 'repair':24 'signal':23 't10':11 'traffic':20 'trafficshop':5 'websit':1","Traffic or Pedestrian Signal, Repair","25",40.4567918,"2018-08-30T10:06:00","1","284783","DOMI - TrafficShop",-80.0155781,"25",271735,"1-21",2018-08-30
"8","Closed","4","5","Hazelwood","EXACT","Call Center","42003562300","'+00':12 '-08':7 '-13':24 '-30':8 '-79.9418625':29 '00':11,13 '1':18 '15':2,10 '2':23 '2018':6 '284785':17 '3':20 '4':22 '40.4088444':27 '42003562300':1 '5':21 'allegheni':3 'call':25 'center':26 'citi':4 'electr':5 'exact':28 'hazelwood':19 'light':15 'repair':16 'street':14 't10':9","Street Light - Repair","15",40.4088444,"2018-08-30T10:15:00","3","284785","Allegheny City Electric",-79.9418625,"15",271736,"2-13",2018-08-30
"9","Open","2","6","Bluff","EXACT","Call Center","42003010300","'+00':7 '-04':3 '-09':2 '-1':11 '-79.973805249':25 '00':6,8 '01':5 '2':10,18 '2018':1 '285775':12 '3':17 '4':19 '40.4371589588':14 '42003010300':9 '6':13 'bluff':20 'call':23 'center':24 'domi':15 'exact':26 'obstruction/closure':22 'permit':16 'street':21 't16':4","Street Obstruction/Closure","4",40.4371589587758,"2018-09-04T16:01:00","3","285775","DOMI - Permits",-79.9738052490442,"4",272731,"2-1",2018-09-04
"10","Closed","3","3","South Side Slopes","EXACT","Call Center","42003160800","'+00':12 '-08':7 '-24':20 '-30':8 '-79.972138':17 '00':11,13 '06':10 '1':16 '16':3 '2018':6 '284782':4 '3':18 '4':19 '40.4246494':27 '42003160800':5 'asphalt':15 'call':24 'center':25 'domi':14 'exact':26 'pave':1 'request':2 'side':22 'slope':23 'south':21 't10':9","Paving Request","16",40.4246494,"2018-08-30T10:06:00","3","284782","DOMI - Asphalt",-79.972138,"16",271733,"4-24",2018-08-30
