"","STATUS","POLICE_ZONE","COUNCIL_DISTRICT","NEIGHBORHOOD","GEO_ACCURACY","REQUEST_ORIGIN","TRACT","X_full_text","REQUEST_TYPE","PLI_DIVISION","Y","CREATED_ON","PUBLIC_WORKS_DIVISION","REQUEST_ID","DEPARTMENT","X","WARD","X_id","FIRE_ZONE","date"
"1","Open","6","4","Brookline","EXACT","Call Center","42003191800","'+00':26 '-09':21 '-14':22 '-26':4 '-80.0125241':6 '0':7 '00':25,27 '19':5 '2018':20 '288522':2 '36':24 '4':3,10 '40.3885026':1 '42003191800':18 '5':9 '6':12 'brooklin':8 'call':13 'center':14 'dpw':15 'exact':19 'mainten':17 'pothol':11 'street':16 't12':23","Potholes","19",40.3885026,"2018-09-14T12:36:00","5","288522","DPW - Street Maintenance",-80.0125241,"19",275512,"4-26",2018-09-14
"2","Open","1","1","Perry North","EXACT","Website","42003260700","'+00':11 '-09':6 '-14':7 '-15':15 '-80.0112618':20 '0':17 '00':10,12 '1':14,16 '2018':5 '26':4 '288367':21 '40.4853558':18 '42003260700':13 '52':9 'dpw':23 'exact':22 'mainten':25 'north':3 'perri':2 'pothol':19 'street':24 't07':8 'websit':1","Potholes","26",40.4853558,"2018-09-14T07:52:00","1","288367","DPW - Street Maintenance",-80.0112618,"26",275356,"1-15",2018-09-14
"3","Open","2","7","Lower Lawrenceville","EXACT","Call Center","42003060300","'+00':15 '-09':10 '-14':11 '-6':6 '-79.9599068873':27 '00':14,16 '2':1 '2018':9 '288429':2 '3':5,8 '36':13 '40.4646550659':7 '42003060300':4 '6':18 '7':3 'call':19 'center':20 'dpw':23 'exact':26 'lawrencevill':22 'lower':21 'mainten':25 'pothol':17 'street':24 't09':12","Potholes","6",40.4646550659157,"2018-09-14T09:36:00","2","288429","DPW - Street Maintenance",-79.9599068872803,"6",275417,"3-6",2018-09-14
"4","Open","4","7","Shadyside","EXACT","Call Center","42003070900","'+00':15 '-09':10 '-1':7 '-14':11 '-79.9437626783':3 '00':14,16 '2':17 '2018':9 '288462':1 '3':5,6 '37':13 '4':18 '40.4553511312':8 '42003070900':4 '7':2 '8':22 'call':20 'center':21 'dpw':23 'exact':27 'mainten':25 'pothol':19 'shadysid':26 'street':24 't10':12","Potholes","8",40.4553511311703,"2018-09-14T10:37:00","2","288462","DPW - Street Maintenance",-79.9437626782959,"8",275451,"3-1",2018-09-14
"5","Open","4","5","Squirrel Hill South","EXACT","Twitter","42003140800","'+00':7 '-09':2 '-14':3 '-21':25 '-79.9193242349':27 '00':6,8 '14':12 '2':24 '2018':1 '288495':15 '29':5 '3':16 '4':19 '40.4308597673':17 '42003140800':13 '5':18 'dpw':21 'exact':26 'hill':10 'mainten':23 'pothol':20 'south':11 'squirrel':9 'street':22 't11':4 'twitter':14","Potholes","14",40.4308597673471,"2018-09-14T11:29:00","3","288495","DPW - Street Maintenance",-79.9193242349182,"14",275485,"2-21",2018-09-14
"6","Open","6","4","Beechview","EXACT","Call Center","42003192000","'+00':24 '-09':19 '-14':20 '-28':27 '-80.0197232':4 '0':7 '00':23,25 '19':3 '2018':18 '288496':5 '30':22 '4':9,26 '40.4090019':1 '42003192000':2 '5':8 '6':11 'beechview':6 'call':12 'center':13 'dpw':14 'exact':17 'mainten':16 'pothol':10 'street':15 't11':21","Potholes","19",40.4090019,"2018-09-14T11:30:00","5","288496","DPW - Street Maintenance",-80.0197232,"19",275488,"4-28",2018-09-14
"7","Open","6","4","Brookline","EXACT","Call Center","42003191700","'+00':16 '-09':11 '-14':12 '-26':4 '-80.0091191873':18 '0':7 '00':15,17 '19':5 '2018':10 '288545':2 '37':14 '4':3,27 '40.411289415':6 '42003191700':22 '5':9 '6':19 'brooklin':8 'call':20 'center':21 'dpw':23 'exact':26 'mainten':25 'overgrowth':1 'street':24 't13':13","Overgrowth","19",40.41128941501,"2018-09-14T13:37:00","5","288545","DPW - Street Maintenance",-80.0091191873108,"19",275536,"4-26",2018-09-14
"8","Open","4","5","Hays","EXACT","Website","42003562900","'+00':14 '-09':9 '-14':10 '-20':18 '-79.932913':20 '00':13,15 '2018':8 '288546':3 '3':6 '31':5 '37':12 '4':17,25 '40.388594':19 '42003562900':4 '5':7 'dpw':21 'exact':24 'hay':2 'mainten':23 'pothol':16 'street':22 't13':11 'websit':1","Potholes","31",40.388594,"2018-09-14T13:37:00","3","288546","DPW - Street Maintenance",-79.932913,"31",275539,"4-20",2018-09-14
"9","Open","2","7","Central Lawrenceville","EXACT","Website","42003090200","'+00':16 '-09':11 '-14':12 '-3':7 '-79.9569427':4 '00':15,17 '2':19 '2018':10 '28':14 '288520':5 '3':6,18 '40.4710813':21 '42003090200':2 '7':3 '9':22 'central':8 'dpw':23 'exact':26 'lawrencevill':9 'mainten':25 'pothol':20 'street':24 't12':13 'websit':1","Potholes","9",40.4710813,"2018-09-14T12:28:00","2","288520","DPW - Street Maintenance",-79.9569427,"9",275510,"3-3",2018-09-14
"10","Open","4","8","Shadyside","EXACT","Control Panel","42003070300","'+00':10 '-09':5 '-14':6 '-22':27 '-79.935294087':20 '00':9,11 '15':8 '2':17 '2018':4 '288515':25 '3':16,26 '4':18 '40.4511364531':13 '42003070300':3 '7':2 '8':21 'control':14 'dpw':22 'exact':12 'mainten':24 'panel':15 'pothol':19 'shadysid':1 'street':23 't12':7","Potholes","7",40.4511364531195,"2018-09-14T12:15:00","2","288515","DPW - Street Maintenance",-79.9352940870331,"7",275505,"3-22",2018-09-14
"11","Open","3","3","South Side Slopes","EXACT","Call Center","42003160800","'+00':15 '-09':10 '-14':11 '-24':26 '-79.9662132':5 '00':14,16 '16':2 '2018':9 '288573':7 '3':8 '4':25 '40.4234164':6 '42003160800':4 '52':13 'call':20 'center':21 'dpw':22 'exact':3 'mainten':24 'overgrowth':1 'side':18 'slope':19 'south':17 'street':23 't14':12","Overgrowth","16",40.4234164,"2018-09-14T14:52:00","3","288573","DPW - Street Maintenance",-79.9662132,"16",275563,"4-24",2018-09-14
"12","Open","1","6","Chateau","EXACT","Call Center","42003980600","'+00':25 '-09':20 '-14':21 '-8':2 '-80.0191099483':7 '0':10 '00':24,26 '1':1,9 '2018':19 '21':6 '288578':5 '40.4510079608':3 '42003980600':4 '58':23 '6':12 'call':13 'center':14 'chateau':8 'dpw':15 'exact':18 'mainten':17 'pothol':11 'street':16 't14':22","Potholes","21",40.4510079608216,"2018-09-14T14:58:00","1","288578","DPW - Street Maintenance",-80.0191099483051,"21",275568,"1-8",2018-09-14
"13","Open","6","2","Crafton Heights","EXACT","Call Center","42003281400","'+00':27 '-09':22 '-14':23 '-16':9 '-80.052162':7 '0':10 '00':26,28 '01':25 '1':8 '2':11 '20':1 '2018':21 '288580':2 '40.4512793':3 '42003281400':14 '5':12 '6':6 'call':15 'center':16 'crafton':4 'dpw':17 'exact':20 'height':5 'mainten':19 'pothol':13 'street':18 't15':24","Potholes","20",40.4512793,"2018-09-14T15:01:00","5","288580","DPW - Street Maintenance",-80.052162,"20",275570,"1-16",2018-09-14
"14","Open","6","2","Westwood","EXACT","Call Center","42003563100","'+00':9 '-09':4 '-14':5 '-18':26 '-80.0388621':12 '0':14 '00':8,10 '1':25 '2':15 '20':21 '2018':3 '288592':2 '32':7 '40.43262':1 '42003563100':13 '5':16 '6':18 'call':19 'center':20 'dpw':22 'exact':11 'mainten':24 'pothol':17 'street':23 't15':6 'westwood':27","Potholes","20",40.43262,"2018-09-14T15:32:00","5","288592","DPW - Street Maintenance",-80.0388621,"20",275581,"1-18",2018-09-14
"15","Open","1","1","Spring Hill-City View","EXACT","Call Center","42003262000","'+00':28 '-09':23 '-14':24 '-24':4 '-79.9967679':15 '0':12 '00':27,29 '1':3,11 '2018':22 '24':1 '288594':2 '35':26 '40.4611145':13 '42003262000':5 'call':16 'center':17 'citi':9 'dpw':18 'exact':21 'hill':8 'hill-citi':7 'mainten':20 'pothol':14 'spring':6 'street':19 't15':25 'view':10","Potholes","24",40.4611145,"2018-09-14T15:35:00","1","288594","DPW - Street Maintenance",-79.9967679,"24",275584,"1-24",2018-09-14
"16","Open","1","1","Summer Hill","EXACT","Call Center","42003261200","'+00':15 '-09':10 '-14':11 '-15':2 '-80.0094953':6 '0':8 '00':14,16 '09':13 '1':1,7 '2018':9 '26':3 '288611':4 '40.4985325':5 '42003261200':23 'call':18 'center':19 'dpw':20 'exact':24 'hill':26 'mainten':22 'pothol':17 'street':21 'summer':25 't16':12","Potholes","26",40.4985325,"2018-09-14T16:09:00","1","288611","DPW - Street Maintenance",-80.0094953,"26",275601,"1-15",2018-09-14
"17","Open","4","8","North Oakland","EXACT","Control Panel","42003040400","'+00':11 '-09':6 '-14':7 '-79.9481266233':26 '-9':15 '00':10,12 '11':9 '2':14 '2018':5 '288613':4 '3':18 '4':19 '40.4452680277':3 '42003040400':13 '8':21 'control':16 'dpw':22 'exact':25 'mainten':24 'north':1 'oakland':2 'panel':17 'pothol':20 'street':23 't16':8","Potholes","4",40.445268027709,"2018-09-14T16:11:00","3","288613","DPW - Street Maintenance",-79.9481266233135,"4",275604,"2-9",2018-09-14
"18","Open","4","8","Shadyside","EXACT","Control Panel","42003070300","'+00':18 '-09':13 '-14':14 '-22':26 '-79.9357751':27 '00':17,19 '10':16 '2':9 '2018':12 '288612':3 '3':8,25 '4':10 '40.4527744':5 '42003070300':2 '7':1 '8':20 'control':6 'dpw':21 'exact':4 'mainten':23 'panel':7 'pothol':11 'shadysid':24 'street':22 't16':15","Potholes","7",40.4527744,"2018-09-14T16:10:00","2","288612","DPW - Street Maintenance",-79.9357751,"7",275603,"3-22",2018-09-14
